crisis,strategy,N,cum_return,max_drawdown,annualized_sharpe,avg_equity_weight
Dot-com,HM-Markowitz,30,-0.38183728152274155,-0.39117471295217543,-1.174188635379647,0.8694666501544215
Dot-com,SOP-Markowitz,30,-0.13801773689472407,-0.1568872555520302,-0.8201172654843369,0.3657323178088437
GFC,HM-Markowitz,17,-0.6204715227880444,-0.6417050816065797,-1.8734221045608137,1.5
GFC,SOP-Markowitz,17,-0.5505652807439754,-0.5201615319208104,-1.9203038413960158,1.210239917408771
COVID,HM-Markowitz,2,-0.025894358675139117,0.0,0.062304927200869935,1.5
COVID,SOP-Markowitz,2,-0.01286863992275844,0.0,0.1244208818396945,1.3959238089847799
Inflation shock,HM-Markowitz,9,-0.18992838630438424,-0.24796837568137042,-0.8160025116656507,1.2607676269992638
Inflation shock,SOP-Markowitz,9,-0.205101785846873,-0.2804231663155671,-0.7196481913774343,1.4364310467419872
