Regime,N_strict240,R2_enh_strict240,N_relaxed120,R2_enh_relaxed120,N_gain,R2_diff_relaxed_minus_strict
Expansion,177,0.0009954452340481534,271,0.0017376785745609746,94,0.0007422333405128212
Recession,2,0.3204109693832521,28,0.009287286908342685,26,-0.3111236824749094
