segment,N_baseline,OOS_R2_baseline_SOP,N_vix_enh,OOS_R2_vix_enh_SOP,Delta_vix_minus_base
Full sample - Recession,381,0.004241992289920393,2,0.3278408063743873,0.3235988140844669
Full sample - Expansion,1226,0.0003460223916673666,177,0.0009055351187656768,0.0005595127270983102
VIX sample - Recession,36,-0.0017924923335517207,2,0.3278408063743873,0.329633298707939
VIX sample - Expansion,383,-0.0005386243290133041,177,0.0009055351187656768,0.001444159447778981
