date,price,d12,e12,ret,retx,rfree,lty,dfy,tbl,tms,ntis,infl,ltr,dfr,svar,dp_gw,dy,ep,de,bm,cay,SP500,CPIAUCSL,TB3MS,VIXCLS,USREC,ret_decimal,r_log,rf_simple,rf_forecast_simple,dp,ge,gm,gs,ms,forecast_target_date,ret_lead,rf_log,rf_log_next,rf_simple_next,xret_lead,hist_mean,hist_mean_xret,d12_lag1,e12_lag1,dp_lagfund,ge_lagfund,gm_lagfund,gs_lagfund,ms_lagfund,ge_winsor,gm_winsor,gs_winsor,ms_winsor,VIXCLS_lag1,decomp_error
2008-02-29,1330.63,28.112,62.3207,-0.031419,-0.033693,0.0013,0.0438,0.0129,0.0212,0.0226,-0.049607,0.002904,0.0018,-0.0089,0.003226,0.021127,0.020392,0.046836,0.451086,0.270979,,,212.687,2.12,26.54,1,-0.031419,-0.0319231651459361,0.0013,0.0017666666666666666,0.0017590215688186854,-0.030498984809037784,-0.0048807230330443685,0.005122525341001545,0.00688154690982023,2008-03-31,-0.003405793134832862,0.00129915573162005,0.0016985566355814774,0.0017,-0.005104349770414339,0.007958873680598154,0.004907840444913536,27.922,64.2507,0.0017471432852155225,-0.02959626099357366,-0.005783446848508494,0.005333517874335354,0.007080661159550877,-0.030498984809037784,-0.0048807230330443685,0.005235100491307178,0.006994122060125863,26.2,0.0016975211273273644
2008-03-31,1322.7,28.302,60.3907,-0.0034,-0.005054,0.0017,0.0432,0.0138,0.0126,0.0306,-0.05183,0.008668,0.0106,-0.0165,0.006338,0.021397,0.02127,0.045657,0.468648,0.254058,,,213.448,1.26,25.61,1,-0.0034,-0.003405793134832862,0.0017,0.00105,0.0017815073570929601,-0.03145851427287838,0.02548110203150448,0.004909213824343104,0.006690721181436064,2008-04-30,0.047483596696059345,0.0016985566355814774,0.0017983819413793735,0.0018,0.04568521475467997,0.007947359327188397,0.004897696381878756,28.112,62.3207,0.001769558127733209,-0.030498984809037784,0.024521572567663928,0.005122525341001545,0.006892083468734754,-0.03145851427287838,0.02548110203150448,0.005021788974648738,0.006803296331741698,26.54,0.0007901117494480748
2008-04-30,1385.59,28.4387,57.3838,0.048629,0.04749,0.0018,0.0458,0.0142,0.0129,0.0329,-0.048844,0.006065,-0.0288,0.0379,0.002904,0.020525,0.0215,0.041415,0.495587,0.243015,,,213.942,1.29,20.79,1,0.048629,0.047483596696059345,0.0018,0.001075,0.0017089234634239828,-0.05107308604970547,0.09752402570976176,0.0044724199552246486,0.006181343418648631,2008-05-31,0.012902404835407886,0.0017983819413793735,0.0017983819413793735,0.0018,0.011104022894028513,0.007987375761772273,0.00493897929521155,28.302,60.3907,0.0017007159399329852,-0.03145851427287838,0.07790945393293472,0.004909213824343104,0.006609929764276089,-0.05107308604970547,0.09752402570976176,0.004584995105530282,0.006293918568954265,25.61,-0.0006762664274209268
2008-05-31,1400.38,28.5753,54.3769,0.012986,0.010708,0.0018,0.0475,0.0136,0.0173,0.0302,-0.045461,0.008421,-0.0164,-0.0113,0.001641,0.020405,0.020623,0.03883,0.525505,0.246511,,,215.208,1.73,17.83,1,0.012986,0.012902404835407886,0.0018,0.0014416666666666666,0.0016990050369967659,-0.05382260219888439,0.06444018885153449,0.004035619249053564,0.00573462428605033,2008-06-30,-0.08647552058632017,0.0017983819413793735,0.0016985566355814774,0.0017,-0.08817407722190165,0.007992345457498903,0.004945212908557169,28.4387,57.3838,0.001690890057118129,-0.05107308604970547,0.06169067270235588,0.0044724199552246486,0.006163310012342778,-0.05382260219888439,0.06444018885153449,0.004148194399359198,0.0058471994363559635,20.79,0.000585813145761024
2008-06-30,1280.0,28.712,51.37,-0.082842,-0.084569,0.0017,0.046,0.0139,0.0186,0.0274,-0.047377,0.010077,0.022,-0.0281,0.003425,0.022431,0.020503,0.040133,0.558925,0.274491,,,217.463,1.86,23.95,1,-0.082842,-0.08647552058632017,0.0017,0.00155,0.0018675259207469078,-0.056885086847931456,-0.03299846358311388,0.0035963563705454517,0.00546388229129236,2008-07-31,-0.007332819526817929,0.0016985566355814774,0.0014988761237358919,0.0015,-0.00883169565055382,0.007896923370585954,0.004851153019536504,28.5753,54.3769,0.001858642746692715,-0.05382260219888439,-0.036060948232161036,0.004035619249053564,0.005894261995746279,-0.056885086847931456,-0.03299846358311388,0.0037089315208510853,0.005576457441597993,17.83,0.0015405039239782536
2008-07-31,1267.38,28.7593,49.5633,-0.007306,-0.008738,0.0015,0.0465,0.0149,0.0163,0.0302,-0.046932,0.005251,-0.0025,-0.0084,0.004466,0.022692,0.022468,0.039107,0.580254,0.273816,,,219.016,1.63,22.94,1,-0.007306,-0.007332819526817929,0.0015,0.0013583333333333331,0.0018892086032644957,-0.03580370397856471,0.02589540349210843,0.003379790236142964,0.00526899883940746,2008-08-31,0.014844276535557126,0.0014988761237358919,0.00129915573162005,0.0013,0.013545120803937076,0.007881555315189985,0.0048373459068522555,28.712,51.37,0.0018861043778765714,-0.056885086847931456,0.04697678636147505,0.0035963563705454517,0.005482460748422023,-0.03580370397856471,0.02589540349210843,0.0034923653864485974,0.005381573989713093,23.95,0.0006862723563738505
2008-08-31,1282.83,28.8067,47.7567,0.014955,0.012682,0.0013,0.0449,0.0151,0.0172,0.0277,-0.046333,-0.003992,0.0242,-0.0121,0.003448,0.022456,0.022729,0.037228,0.603197,0.269889,,,218.69,1.72,20.65,1,0.014955,0.014844276535557126,0.0013,0.0014333333333333333,0.0018695501745468548,-0.037131269280854404,0.04924806674156756,0.003158746384547344,0.005028296559094199,2008-09-30,-0.0893417265097656,0.00129915573162005,0.0014988761237358919,0.0015,-0.0908406026335015,0.007888574187387937,0.004846123905740445,28.7593,49.5633,0.001866476791297193,-0.03580370397856471,0.04792050143927775,0.003379790236142964,0.005246267027440157,-0.037131269280854404,0.04924806674156756,0.0032713215348529772,0.005140871709399832,22.94,0.000857928900297119
2008-09-30,1166.36,28.854,45.95,-0.085467,-0.087287,0.0015,0.0443,0.0166,0.0113,0.033,-0.048923,-0.001383,0.0112,-0.0975,0.023775,0.024739,0.022492,0.039396,0.627943,0.287124,,,218.877,1.13,39.39,1,-0.085467,-0.0893417265097656,0.0015,0.0009416666666666666,0.0020594198295057933,-0.03856552241806113,-0.056615264356314136,0.0029327842122385175,0.004992204041744311,2008-10-31,-0.18269762749967874,0.0014988761237358919,0.0007996801705643322,0.0008,-0.18349730767024308,0.0077906584767160805,0.004749762650413918,28.8067,47.7567,0.002056047316640001,-0.037131269280854404,-0.05804951749352095,0.003158746384547344,0.005214793701187345,-0.03856552241806113,-0.056615264356314136,0.003045359362544151,0.005104779192049944,20.65,0.0037796404351038704
2008-10-31,968.75,28.6983,35.5933,-0.16698,-0.168455,0.0008,0.0478,0.026,0.0067,0.0411,-0.055954,-0.010101,-0.0383,-0.0067,0.058089,0.029624,0.024605,0.036742,0.806284,0.334099,,,216.995,0.67,59.89,1,-0.16698,-0.18269762749967874,0.0008,0.0005583333333333333,0.002465628805271918,-0.2553964309031676,0.06975994445718013,0.001806768107136942,0.00427239691240886,2008-11-30,-0.0763541853103788,0.0007996801705643322,0.00029995500899797546,0.0003,-0.07665414031937677,0.007599020362051699,0.004560379279869998,28.854,45.95,0.0024789892815671763,-0.03856552241806113,-0.14707096402792635,0.0029327842122385175,0.005411773493805694,-0.07528587567111511,0.06975994445718013,0.0026698039042427945,0.005135432709514712,39.39,0.00047323014103681227
2008-11-30,896.24,28.5427,25.2367,-0.073512,-0.076514,0.0003,0.0372,0.0309,0.0019,0.0353,-0.05278,-0.019153,0.1443,-0.0269,0.036257,0.031847,0.029463,0.028158,1.131,0.352867,,,213.153,0.19,55.84,1,-0.073512,-0.0763541853103788,0.0003,0.00015833333333333332,0.0026504146688078453,-0.3438581336228143,0.2660597872057253,0.0003130666782203947,0.00296348134702824,2008-12-31,0.011923630141605997,0.00029995500899797546,0.0,0.0,0.011923630141605997,0.00751464528097388,0.004478756647106935,28.6983,35.5933,0.002664844120543179,-0.2553964309031676,0.17759808448607894,0.001806768107136942,0.004471612227680121,-0.07528587567111511,0.1320394899508541,0.0022951535501249936,0.004945568218932839,59.89,-0.0012062535620976367
