strategy,N,start_date,end_date,ann_return,ann_vol,ann_sharpe,cum_return,max_drawdown,avg_weight,turnover,CEQ_gamma3_ann
A: SOP + Markowitz,179,2010-02-28,2024-12-31,0.13172479576563223,0.14082743156196287,0.8726294684459763,5.333358416973636,-0.23670511272957295,0.9410957740095771,0.004327068811043425,0.09314161852601878
B: SOP + vol-managed,179,2010-02-28,2024-12-31,0.12518532988994724,0.11724569271760132,0.9724061593631159,4.808877881799047,-0.18308465294544485,0.8882022016543131,0.10251789363073863,0.09339060506614547
C: VIX-SOP + Markowitz,179,2010-02-28,2024-12-31,0.12308174739686573,0.1400489308204099,0.8213560904653654,4.648974160482837,-0.23670511272957273,0.8784389849771739,0.05739011613188562,0.08560948775659638
D: VIX-SOP + vol-managed,179,2010-02-28,2024-12-31,0.11817127397869376,0.11390231514802943,0.9421091966909172,4.29154633720248,-0.18308465294544485,0.8272021147081734,0.12892580274857832,0.08784781253122417
Historical mean + Markowitz,179,2010-02-28,2024-12-31,0.13488513969542426,0.14088613158169427,0.8923327347280623,5.602361726139478,-0.23670511272957295,0.9557864566736184,0.0037769374586205644,0.09594395397146918
