predictor,eval_n,delta,delta_sign_ok,oos_r2_vs_hm
tbl,419,-4.658149751461334e-05,True,0.012435923841556784
dfy,419,-4.7744978941372046e-05,True,0.012398050114517556
ntis,419,-4.0842576024047565e-05,True,0.011694084603135813
tms,419,-4.458432358914973e-05,True,0.011608782361433145
VIXCLS,179,-5.4874560496440734e-05,True,-0.01564760593902159
