model,N,start_date,end_date,MSE,MSE_benchmark,OOS_R2_vs_HM,MAE,MAE_benchmark,MAE_gain,MSE_F
Reversion SOP: VIXCLS,179,2010-02-28,2024-12-31,0.0017599508948866072,0.0017643126055089623,0.0024721869632036153,0.032401966487242646,0.03243400738825345,3.20409010108047e-05,0.44361817347856
Baseline SOP,179,2010-02-28,2024-12-31,0.0017813657753522458,0.0017643126055089623,-0.009665616960416124,0.032659305793747886,0.03243400738825345,-0.00022529840549443542,-1.7135826028453593
Reversion SOP: dfy,179,2010-02-28,2024-12-31,0.0017924836472210045,0.0017643126055089623,-0.0159671486924029,0.03287833390886775,0.03243400738825345,-0.00044432652061429656,-2.8132008201432885
Reversion SOP: ntis,179,2010-02-28,2024-12-31,0.0017958286603491252,0.0017643126055089623,-0.017863078652703424,0.03294639595518371,0.03243400738825345,-0.0005123885669302622,-3.1413764246820874
