strategy,CEQ_gamma3_ann,CEQ_gain_vs_A_ann,CEQ_gain_vs_HM_ann
A: SOP + Markowitz,0.10500309986402594,0.0,-0.008440570895427935
B: SOP + vol-managed,0.11815152391661954,0.013148424052593602,0.004707853157165667
C: VIX-SOP + Markowitz,0.10052138863314557,-0.00448171123088037,-0.012922282126308304
D: VIX-SOP + vol-managed,0.11750046778742448,0.012497367923398547,0.004056797027970613
Historical mean + Markowitz,0.11344367075945387,0.008440570895427935,0.0
Buy-and-hold equity,0.10196726410011084,-0.0030358357639150985,-0.011476406659343033
