model,N,start_date,end_date,MSE,MSE_benchmark,OOS_R2_vs_HM,MAE,MAE_benchmark,MAE_gain,MSE_F,R2_vs_baseline_SOP
Enhanced SOP: VIXCLS,179,2010-02-28,2024-12-31,0.001740719039722918,0.0017643126055089623,0.013372667469684685,0.032510002153881674,0.03243400738825345,-7.599476562822338e-05,2.426151595592452,0.02281773692507949
Enhanced SOP: ntis,179,2010-02-28,2024-12-31,0.0017622664639790106,0.0017643126055089623,0.0011597386560424638,0.032106594935145207,0.03243400738825345,0.0003274124531082445,0.20783425284867776,0.010721723543531403
Enhanced SOP: tms,179,2010-02-28,2024-12-31,0.0017732412823380627,0.0017643126055089623,-0.005060711350823643,0.032469803542152544,0.03243400738825345,-3.579615389909252e-05,-0.9013060818783022,0.004560822446797341
Enhanced SOP: dfy,179,2010-02-28,2024-12-31,0.0017788197492021051,0.0017643126055089623,-0.0082225472106503,0.032842227605645584,0.03243400738825345,-0.0004082202173921329,-1.4598324097972069,0.0014292551172636614
Enhanced SOP: tbl,179,2010-02-28,2024-12-31,0.0017788382738168815,0.0017643126055089623,-0.008233046832269775,0.03259742692770166,0.03243400738825345,-0.0001634195394482063,-1.4616812924417693,0.0014188560094371416
Baseline SOP,179,2010-02-28,2024-12-31,0.0017813657753522458,0.0017643126055089623,-0.009665616960416124,0.032659305793747886,0.03243400738825345,-0.00022529840549443542,-1.7135826028453593,
