date,price,d12,e12,ret,retx,rfree,lty,dfy,tbl,tms,ntis,infl,ltr,dfr,svar,dp_gw,dy,ep,de,bm,cay,SP500,CPIAUCSL,TB3MS,VIXCLS,USREC,ret_decimal,r_log,rf_simple,rf_forecast_simple,dp,ge,gm,gs,ms,forecast_target_date,ret_lead,rf_log,rf_log_next,rf_simple_next,xret_lead,hist_mean,hist_mean_xret,d12_lag1,e12_lag1,dp_lagfund,ge_lagfund,gm_lagfund,gs_lagfund,ms_lagfund,ge_winsor,gm_winsor,gs_winsor,ms_winsor,VIXCLS_lag1,decomp_error,fc_dfy,fc_tbl,fc_tms,fc_ntis,fc_infl,fc_ltr,fc_dfr,fc_svar,fc_dp_gw,fc_dy,fc_ep,fc_de,fc_bm,gm_lead,gm_fc_VIXCLS,ms_enh_VIXCLS,gm_fc_dfy,ms_enh_dfy,gm_fc_ntis,ms_enh_ntis,gm_fc_tbl,ms_enh_tbl,gm_fc_tms,ms_enh_tms,gm_fc_VIX_lag1,ms_enh_VIX_lag1
1871-01-31,4.44,0.26,0.4,,,,,,,,,,,,,0.058559,,0.09009,0.65,,,,,,,0,,,,,0.004868011860072753,,,,,1871-02-28,,,0.004954705151036183,0.004967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01342302033214077,,,,,,,,,,,,
1871-02-28,4.5,0.26,0.4,,,0.004967,,,,,,,,,,0.057778,0.058559,0.088889,0.65,,,,,,,0,,,0.004967,,0.004803260666511302,0.0,0.01342302033214077,,,1871-03-31,,0.004954705151036183,0.004514792967132901,0.004525,,,,0.26,0.4,0.004803260666511302,,,,,0.0,0.01342302033214077,,,,,,,,,,,,,,,,,,0.024150460232283122,,,,,,,,,,,,
1871-03-31,4.61,0.26,0.4,,,0.004525,,,,,,,,,,0.056399,0.057778,0.086768,0.65,,,,,,,0,,,0.004525,,0.0046889175178001985,0.0,0.024150460232283122,,,1871-04-30,,0.004514792967132901,0.004242985791243541,0.004252,,,,0.26,0.4,0.0046889175178001985,0.0,0.024150460232283122,,,0.0,0.024150460232283122,,,,,,,,,,,,,,,,,,0.027809278698427923,,,,,,,,,,,,
1871-04-30,4.74,0.26,0.4,,,0.004252,,,,,,,,,,0.054852,0.056399,0.084388,0.65,,,,,,,0,,,0.004252,,0.004560611307641576,0.0,0.027809278698427923,,,1871-05-31,,0.004242985791243541,0.004632254523494214,0.004643,,,,0.26,0.4,0.004560611307641576,0.0,0.027809278698427923,,,0.0,0.027809278698427923,,,,,,,,,,,,,,,,,,0.0250013022054174,,,,,,,,,,,,
1871-05-31,4.86,0.26,0.4,,,0.004643,,,,,,,,,,0.053498,0.054852,0.082305,0.65,,,,,,,0,,,0.004643,,0.004448253699184711,0.0,0.0250013022054174,,,1871-06-30,,0.004632254523494214,0.003691179208353218,0.003698,,,,0.26,0.4,0.004448253699184711,0.0,0.0250013022054174,,,0.0,0.0250013022054174,,,,,,,,,,,,,,,,,,-0.008264509849893424,,,,,,,,,,,,
1871-06-30,4.82,0.26,0.4,,,0.003698,,,,,,,,,,0.053942,0.053498,0.082988,0.65,,,,,,,0,,,0.003698,,0.004485086007356297,0.0,-0.008264509849893424,,,1871-07-31,,0.003691179208353218,0.003367324194912681,0.003373,,,,0.26,0.4,0.004485086007356297,0.0,-0.008264509849893424,,,0.0,-0.008264509849893424,,,,,,,,,,,,,,,,,,-0.01884872555866727,,,,,,,,,,,,
1871-07-31,4.73,0.26,0.4,,,0.003373,,,,,,,,,,0.054968,0.053942,0.084567,0.65,,,,,,,0,,,0.003373,,0.004570231192684024,0.0,-0.01884872555866727,,,1871-08-31,,0.003367324194912681,0.0032497139551113663,0.003255,,,,0.26,0.4,0.004570231192684024,0.0,-0.01884872555866727,,,0.0,-0.01884872555866727,,,,,,,,,,,,,,,,,,0.01260520891898219,,,,,,,,,,,,
1871-08-31,4.79,0.26,0.4,,,0.003255,,,,,,,,,,0.05428,0.054968,0.083507,0.65,,,,,,,0,,,0.003255,,0.004513113023964858,0.0,0.01260520891898219,,,1871-09-30,,0.0032497139551113663,0.0037061238310540793,0.003713,,,,0.26,0.4,0.004513113023964858,0.0,0.01260520891898219,,,0.0,0.01260520891898219,,,,,,,,,,,,,,,,,,0.01038430930571639,,,,,,,,,,,,
1871-09-30,4.84,0.26,0.4,,,0.003713,,,,,,,,,,0.053719,0.05428,0.082645,0.65,,,,,,,0,,,0.003713,,0.004466593923034711,0.0,0.01038430930571639,,,1871-10-31,,0.0037061238310540793,0.004543661916539085,0.004554,,,,0.26,0.4,0.004466593923034711,0.0,0.01038430930571639,,,0.0,0.01038430930571639,,,,,,,,,,,,,,,,,,-0.053034696656086545,,,,,,,,,,,,
1871-10-31,4.59,0.26,0.4,,,0.004554,,,,,,,,,,0.056645,0.053719,0.087146,0.65,,,,,,,0,,,0.004554,,0.004709300498325751,0.0,-0.053034696656086545,,,1871-11-30,,0.004543661916539085,0.007016327902627086,0.007041,,,,0.26,0.4,0.004709300498325751,0.0,-0.053034696656086545,,,0.0,-0.053034696656086545,,,,,,,,,,,,,,,,,,0.010834342165709925,,,,,,,,,,,,
1871-11-30,4.64,0.26,0.4,,,0.007041,,,,,,,,,,0.056034,0.056645,0.086207,0.65,,,,,,,0,,,0.007041,,0.00465867174764946,0.0,0.010834342165709925,,,1871-12-31,,0.007016327902627086,0.006467043522909728,0.006488,,,,0.26,0.4,0.00465867174764946,0.0,0.010834342165709925,,,0.0,0.010834342165709925,,,,,,,,,,,,,,,,,,0.021322769468821463,,,,,,,,,,,,
1871-12-31,4.74,0.26,0.4,,,0.006488,,,,,,,,,,0.054852,0.056034,0.084388,0.65,,,,,,,0,,,0.006488,,0.004560611307641576,0.0,0.021322769468821463,,,1872-01-31,,0.006467043522909728,0.006950787211765021,0.006975,,,,0.26,0.4,0.004560611307641576,0.0,0.021322769468821463,,,0.0,0.021322769468821463,,,,,,,,,,,,,,,,,,0.018770752454781253,,,,,,,,,,,,
1872-01-31,4.86,0.2633,0.4025,,,0.006975,,,,,,,,,,0.054177,0.055549,0.082819,0.654161,,,,,,,0,,,0.006975,,0.004504585332057336,0.006230549750636163,0.018770752454781253,,,1872-02-29,,0.006950787211765021,0.005747451711107482,0.005764,,,,0.26,0.4,0.004448253699184711,0.0,0.0250013022054174,,,0.006230549750636163,0.018770752454781253,,,,,,,,,,,,,,,,,,-0.0020851882952678705,,,,,,,,,,,,
1872-02-29,4.88,0.2667,0.405,,,0.005764,,,,,,,,,,0.054652,0.054877,0.082992,0.658519,,,,,,,0,,,0.005764,,0.004543963820312047,0.00619197024792098,-0.0020851882952678705,,,1872-03-31,,0.005747451711107482,0.005204433411175873,0.005218,,,,0.2633,0.4025,0.004486165265259833,0.006230549750636163,-0.0021237677979826838,,,0.00619197024792098,-0.0020851882952678705,,,,,,,,,,,,,,,,,,0.026106996643843458,,,,,,,,,,,,
1872-03-31,5.04,0.27,0.4075,,,0.005218,,,,,,,,,,0.053571,0.055328,0.080853,0.662577,,,,,,,0,,,0.005218,,0.004454350349380279,0.006153865574378066,0.026106996643843458,,,1872-04-30,,0.005204433411175873,0.005983065712838699,0.006001,,,,0.2667,0.405,0.004400027886287677,0.00619197024792098,0.02606889197030021,,,0.006153865574378066,0.026106996643843458,,,,,,,,,,,,,,,,,,0.021282747170678257,,,,,,,,,,,,
1872-04-30,5.18,0.2733,0.41,,,0.006001,,,,,,,,,,0.052761,0.054226,0.079151,0.666585,,,,,,,0,,,0.006001,,0.004387080819568926,0.006116227017436054,0.021282747170678257,,,1872-05-31,,0.005983065712838699,0.006011892306466737,0.00603,,,,0.27,0.4075,0.004334223014260748,0.006153865574378066,0.02124510861373628,,,0.006116227017436054,0.021282747170678257,,,,,,,,,,,,,,,,,,-0.006079046076382338,,,,,,,,,,,,
1872-05-31,5.18,0.2767,0.4125,,,0.00603,,,,,,,,,,0.053417,0.053417,0.079633,0.670788,,,,,,,0,,,0.00603,,0.00444153745448268,0.0060790460763821925,-0.006079046076382338,,,1872-06-30,,0.006011892306466737,0.004940774248313461,0.004953,,,,0.2733,0.41,0.004387080819568926,0.006116227017436054,-0.0061162270174359825,,,0.0060790460763821925,-0.006079046076382338,,,,,,,,,,,,,,,,,,-0.015741711544675983,,,,,,,,,,,,
1872-06-30,5.13,0.28,0.415,,,0.004953,,,,,,,,,,0.054581,0.054054,0.080897,0.674699,,,,,,,0,,,0.004953,,0.004538095308488046,0.006042314455962662,-0.015741711544675983,,,1872-07-31,,0.004940774248313461,0.004058752110714429,0.004067,,,,0.2767,0.4125,0.004484730365846737,0.0060790460763821925,-0.015778443165095624,,,0.006042314455962662,-0.015741711544675983,,,,,,,,,,,,,,,,,,-0.011871143512610115,,,,,,,,,,,,
1872-07-31,5.1,0.2833,0.4175,,,0.004067,,,,,,,,,,0.055549,0.055224,0.081863,0.678563,,,,,,,0,,,0.004067,,0.004618403703802775,0.006006024060211949,-0.011871143512610115,,,1872-08-31,,0.004058752110714429,0.004389352681522076,0.004399,,,,0.28,0.415,0.004564729152114715,0.006042314455962662,-0.011907433908360762,,,0.006006024060211949,-0.011871143512610115,,,,,,,,,,,,,,,,,,-0.017804624633506592,,,,,,,,,,,,
1872-08-31,5.04,0.2867,0.42,,,0.004399,,,,,,,,,,0.056885,0.056216,0.083333,0.682619,,,,,,,0,,,0.004399,,0.004729209691431819,0.005970166986503754,-0.017804624633506592,,,1872-09-30,,0.004389352681522076,0.005204433411175873,0.005218,,,,0.2833,0.4175,0.004673256428848308,0.006006024060211949,-0.017840481707214598,,,0.005970166986503754,-0.017804624633506592,,,,,,,,,,,,,,,,,,-0.023953241022492872,,,,,,,,,,,,
1872-09-30,4.95,0.29,0.4225,,,0.005218,,,,,,,,,,0.058586,0.05754,0.085354,0.686391,,,,,,,0,,,0.005218,,0.004870275811959247,0.0059347355198145265,-0.023953241022492872,,,1872-10-31,,0.005204433411175873,0.006994481482956495,0.007019,,,,0.2867,0.42,0.004814988641165608,0.005970166986503754,-0.023988672489182183,,,0.0059347355198145265,-0.023953241022492872,,,,,,,,,,,,,,,,,,-0.0018674585992499838,,,,,,,,,,,,
1872-10-31,4.97,0.2933,0.425,,,0.007019,,,,,,,,,,0.059014,0.059253,0.085513,0.690118,,,,,,,0,,,0.007019,,0.004905787299191734,0.005899722127188322,-0.0018674585992499838,,,1872-11-30,,0.006994481482956495,0.007580197572345981,0.007609,,,,0.29,0.4225,0.004850724573556218,0.0059347355198145265,-0.001902471991876128,,,0.005899722127188322,-0.0018674585992499838,,,,,,,,,,,,,,,,,,-0.009897382980336392,,,,,,,,,,,,
1872-11-30,4.95,0.2967,0.4275,,,0.007609,,,,,,,,,,0.059939,0.059698,0.086364,0.694035,,,,,,,0,,,0.007609,,0.004982516120252112,0.005865119452398058,-0.009897382980336392,,,1872-12-31,,0.007580197572345981,0.008180448703685585,0.008214,,,,0.2933,0.425,0.004925559926250618,0.005899722127188322,-0.009931985655126714,,,0.005865119452398058,-0.009897382980336392,,,,,,,,,,,,,,,,,,0.01812232071169979,,,,,,,,,,,,
1872-12-31,5.07,0.3,0.43,,,0.008214,,,,,,,,,,0.059172,0.060606,0.084813,0.697674,,,,,,,0,,,0.008214,,0.004918849071596339,0.005830920310793144,0.01812232071169979,,,1873-01-31,,0.008180448703685585,0.007602031200103343,0.007631,,,,0.2967,0.4275,0.004864873130132412,0.005865119452398058,0.018088121570094855,,,0.005830920310793144,0.01812232071169979,,,,,,,,,,,,,,,,,,0.002061468928195361,,,,,,,,,,,,
1873-01-31,5.11,0.3025,0.4325,,,0.007631,,,,,,,,,,0.059198,0.059665,0.084638,0.699422,,,,,,,0,,,0.007631,,0.00492100958502075,0.005797117684325915,0.002061468928195361,,,1873-02-28,,0.007602031200103343,0.006467043522909728,0.006488,,,,0.3,0.43,0.004880439164908486,0.005830920310793144,0.0020276663017280185,,,0.005797117684325915,0.002061468928195361,,,,,,,,,,,,,,,,,,0.0020336057432816996,,,,,,,,,,,,
1873-02-28,5.15,0.305,0.435,,,0.006488,,,,,,,,,,0.059223,0.059687,0.084466,0.701149,,,,,,,0,,,0.006488,,0.004923136532511972,0.005763704716750134,0.0020336057432816996,,,1873-03-31,,0.006467043522909728,0.006539570321842093,0.006561,,,,0.3025,0.4325,0.004882881314423892,0.005797117684325915,0.0020001927757057523,,,0.005763704716750134,0.0020336057432816996,,,,,,,,,,,,,,,,,,-0.013527985169016769,,,,,,,,,,,,
1873-03-31,5.11,0.3075,0.4375,,,0.006561,,,,,,,,,,0.060176,0.059709,0.085616,0.702857,,,,,,,0,,,0.006561,,0.0050021454877021785,0.0057306747089850745,-0.013527985169016769,,,1873-04-30,,0.006539570321842093,0.007081864298188506,0.007107,,,,0.305,0.435,0.004961578359240802,0.005763704716750134,-0.01356101517678188,,,0.0057306747089850745,-0.013527985169016769,,,,,,,,,,,,,,,,,,-0.019491343246973623,,,,,,,,,,,,
1873-04-30,5.04,0.31,0.44,,,0.007107,,,,,,,,,,0.061508,0.060665,0.087302,0.704545,,,,,,,0,,,0.007107,,0.005112569889353565,0.005698021114637796,-0.019491343246973623,,,1873-05-31,,0.007081864298188506,0.008019755620185092,0.008052,,,,0.3075,0.4375,0.005071443858626623,0.0057306747089850745,-0.019523996841320976,,,0.005698021114637796,-0.019491343246973623,,,,,,,,,,,,,,,,,,-0.003683576331686301,,,,,,,,,,,,
1873-05-31,5.05,0.3125,0.4425,,,0.008052,,,,,,,,,,0.061881,0.062004,0.087624,0.706215,,,,,,,0,,,0.008052,,0.005143515094355803,0.0056657375356773,-0.003683576331686301,,,1873-06-30,,0.008019755620185092,0.0056161995855295264,0.005632,,,,0.31,0.44,0.005102471773124487,0.005698021114637796,-0.0037158599106465124,,,0.0056657375356773,-0.003683576331686301,,,,,,,,,,,,,,,,,,-0.01959216996896267,,,,,,,,,,,,
1873-06-30,4.98,0.315,0.445,,,0.005632,,,,,,,,,,0.063253,0.062376,0.089357,0.707865,,,,,,,0,,,0.005632,,0.005257240797970743,0.005633817718256064,-0.01959216996896267,,,1873-07-31,,0.0056161995855295264,0.004669082848262488,0.00468,,,,0.3125,0.4425,0.00521562528370102,0.0056657375356773,-0.01962408978638415,,,0.005633817718256064,-0.01959216996896267,,,,,,,,,,,,,,,,,,-0.007612306476694227,,,,,,,,,,,,
