model,N,start_date,end_date,MSE,MSE_benchmark,OOS_R2_vs_HM,MAE,MAE_benchmark,MAE_gain,MSE_F
Baseline SOP,924,1948-01-31,2024-12-31,0.001770529382480925,0.0017807985313687577,0.005766597796966755,0.032137162427499436,0.03216242793186186,2.5265504362423363e-05,5.359240951461361
SOP with lagged D12/E12,924,1948-01-31,2024-12-31,0.0017717818788867902,0.0017807985313687577,0.005063263655679884,0.032149780100189644,0.03216242793186186,1.2647831672214782e-05,4.702264422397497
SOP with winsorized ge/gm,924,1948-01-31,2024-12-31,0.0017686059356081286,0.0017807985313687577,0.0068467013791041476,0.03211667691533729,0.03216242793186186,4.575101652457003e-05,6.3699653246654275
