subsample,N,OOS_R2_SOP_vs_HM,MAE_SOP,MAE_HM,MAE_improvement_HM_minus_SOP
Crisis (VIX>25),79,-0.012044078211715492,0.051902251917991506,0.0512404164730772,-0.0006618354449143063
Non-crisis (VIX<=25),1528,0.003335341747667586,0.03374276937815252,0.03379227482715919,4.950544900667042e-05
