strategy,N,start_date,end_date,ann_return,ann_vol,ann_sharpe,cum_return,max_drawdown,avg_weight,turnover,CEQ_gamma3_ann
A: SOP + Markowitz,179,2010-02-28,2024-12-31,0.1673168902656852,0.19928724168842454,0.8241337411825698,9.051537066208494,-0.3365130766941601,1.3169777712819393,0.019604712232549493,0.1046662330129655
B: SOP + vol-managed,179,2010-02-28,2024-12-31,0.16581791960651704,0.1676713399080509,0.9371623714232431,8.86071341790014,-0.26077750912108677,1.2820182703561305,0.1779369407840441,0.11496475318809993
C: VIX-SOP + Markowitz,179,2010-02-28,2024-12-31,0.16051019841283587,0.20145568041712308,0.7874099640869087,8.211853159774778,-0.3453268173420543,1.1858011471757683,0.15098970041610965,0.09775162332386159
D: VIX-SOP + vol-managed,179,2010-02-28,2024-12-31,0.16461532890150088,0.16834225582920495,0.9276572250278978,8.710069149407099,-0.2680350654684964,1.211046118123147,0.21501744181661508,0.11365523725095851
Historical mean + Markowitz,179,2010-02-28,2024-12-31,0.1785315332183477,0.2018519547581426,0.8639157791161658,10.592390618817388,-0.3171343605370791,1.3476184362409889,0.010069807923242408,0.11326677130147697
Buy-and-hold equity,179,2010-02-28,2024-12-31,0.14323719915136324,0.14568463843999996,0.9184447059688303,6.365470824130772,-0.23670511272957295,1.0,0.0,0.10196726410011084
