date,forecast_target_date,ret_A_SOP_Markowitz_net,ret_B_SOP_VolManaged_net,ret_C_VIX_Markowitz_net,ret_D_VIX_VolManaged_net,ret_HM_Markowitz_net,ret_BuyHold_net,w_A_SOP_Markowitz,w_B_SOP_VolManaged,w_C_VIX_Markowitz,w_D_VIX_VolManaged,w_HM_Markowitz,w_BuyHold
2010-01-31,2010-02-28,0.03860555722059356,0.045635999999999996,0.045635999999999996,0.045635999999999996,0.045635999999999996,0.030424,1.2689178681499331,1.5,1.5,1.5,1.5,1.0
2010-02-28,2010-03-31,0.080226831489547,0.08615127425981042,0.09045561224166362,0.091471,0.091471,0.061014,1.316582870827113,1.4147671076971582,1.4837314102871733,1.5,1.5,1.0
2010-03-31,2010-04-30,0.02112261939495083,0.023787650661545735,0.019446967293843983,0.0239155,0.0239155,0.015977,1.3248761973089072,1.5,1.2414435408456432,1.5,1.5,1.0
2010-04-30,2010-05-31,-0.10903870555331492,-0.1202165,-0.12060433468873154,-0.1202165,-0.1202165,-0.080111,1.359988494196354,1.5,1.5,1.5,1.5,1.0
2010-05-31,2010-06-30,-0.07317152496460333,-0.024563362625428242,-0.0803375,-0.026758522369881597,-0.0803375,-0.053525,1.3661951511273986,0.42999256835353933,1.5,0.47210594474592993,1.5,1.0
2010-06-30,2010-07-31,0.09847247956783045,0.04473663213979854,0.10562650000000001,0.04797544123981221,0.10562650000000001,0.070451,1.3990092640795246,0.6389397871820051,1.5,0.6850631410247247,1.5,1.0
2010-07-31,2010-08-31,-0.06138021947887435,-0.04732069297701177,-0.068201,-0.05268507500365108,-0.068201,-0.045434,1.348542162482515,1.0285985171957472,1.5,1.1441227562016447,1.5,1.0
2010-08-31,2010-09-30,0.1230129534162429,0.11580899473276668,0.13552450000000002,0.1275833712473223,0.13552450000000002,0.090383,1.3616361259759089,1.285900419640844,1.5,1.4165683420589508,1.5,1.0
2010-09-30,2010-10-31,0.04932160634442728,0.05387249618407816,0.05803899999999999,0.05791385251308842,0.05720386024531388,0.038726,1.2775771453269988,1.3964242190006169,1.5,1.5,1.4791870668721998,1.0
2010-10-31,2010-11-30,-0.00011085922715520295,-0.0002818636714990747,-0.00019565438131001277,-0.0001265,-0.0001240889889520562,-5.1e-05,1.2884463628986682,1.5,1.4487365594440231,1.5,1.4786446340668966,1.0
2010-11-30,2010-12-31,0.08879366580301301,0.10053250000000001,0.10045560483916605,0.10053250000000001,0.09971506104008433,0.067055,1.3255060157156062,1.5,1.5,1.5,1.488000826353739,1.0
2010-12-31,2011-01-31,0.030213832272575902,0.0349735,0.024893210214093044,0.0349735,0.033978811474031964,0.023349,1.2971066021313713,1.5,1.0926991076040666,1.5,1.4590816886970208,1.0
2011-01-31,2011-02-28,0.042589662757407935,0.048712,0.04200614092611407,0.048712,0.04746540677117889,0.032508,1.3117640369551853,1.5,1.302804848735213,1.5,1.461653430766577,1.0
2011-02-28,2011-03-31,0.0007804535223400321,0.0008874999999999999,0.0005670579020730436,0.0008874999999999999,0.0008670635437106383,0.000625,1.3201974698387138,1.5,1.1956865062596855,1.5,1.4615030567212364,1.0
2011-03-31,2011-04-30,0.0396133802495199,0.04301932561040105,0.033575984906100725,0.03617119906951331,0.04314354240666308,0.029441,1.3468767776658614,1.4630854080476086,1.1431277161530091,1.2417568620766397,1.4656342944626615,1.0
2011-04-30,2011-05-31,-0.015556638843914287,-0.017024871887928585,-0.010165595725447037,-0.01735686470688504,-0.016641437615676803,-0.011313,1.3718062912989213,1.5,0.8611947570791321,1.5,1.4703729850441578,1.0
2011-05-31,2011-06-30,-0.023532801071317444,-0.0248175,-0.01607253790285914,-0.0248175,-0.024459334660425207,-0.016545,1.418149654101736,1.5,0.9622793038779628,1.5,1.4776887857019363,1.0
