model,N,start_date,end_date,MSE,MSE_benchmark,OOS_R2_vs_HM,MAE,MAE_benchmark,MAE_gain,MSE_F,definition,regime
Baseline SOP,63,2000-03-31,2022-10-31,0.00468860547669202,0.004786846807020299,0.02052318243905349,0.05535869203288384,0.055771721771450525,0.0004130297385666823,1.3200521650732373,Fixed windows,Crisis
Baseline SOP,861,1948-01-31,2024-12-31,0.001557011619489869,0.001560843779491816,0.0024551848508469476,0.03043802611491034,0.030434918626526107,-3.1074883842345524e-06,2.1191169804869276,Fixed windows,Non-crisis
Baseline SOP,79,1990-02-28,2022-11-30,0.003934541654967281,0.003878498039957439,-0.014449824244453291,0.05190225191799154,0.051104832093610136,-0.000797419824381404,-1.1252760738186434,VIX>25 at forecast date,Crisis
Baseline SOP,340,1990-03-31,2024-12-31,0.0013475213768515063,0.001357450584417072,0.007314599646976894,0.02813036076750671,0.028099539850730073,-3.082091677663809e-05,2.505289066493506,VIX>25 at forecast date,Non-crisis
